ID,Species,Region,leaf.length,leaflet.length,leaflet.width,leaflet.area,leaflet.upper.hairy,leaflet.lower.hairy,leaf.hairy,leaflet.shape1,leaflet.shape2,length.width
SH159,Species6,North,156.437,73.796526,41.013,2168.04114,1,NA,1,-0.0937463149,-0.0077473677,1.750764
SH189,Species6,North,152.804,76.879702,31.834611,1568.49251,1,NA,1,0.0004487023,-0.0170916693,2.322151
SH368,Species7,North,56.515,21.02724,9.256402,151.21603,1,1,1,-0.016781506,0.0095036802,2.230592
SH448,Species7,North,63.599,21.068236,10.782539,166.9575,1,1,1,-0.0358151128,0.0020897687,2.016693
SH450,Species7,North,44.4765,16.682676,10.025242,129.17625,NA,1,1,-0.0991318492,0.0085235495,1.768398
SH452,Species7,North,87.6565,26.932047,14.584945,296.5277,1,1,1,-0.0894161909,0.0038626959,1.809877
SH476,Species7,North,53.577,13.256133,9.169773,92.19286,1,1,1,-0.1552065298,0.0147329744,1.514545
SH162,Species7,North,109.226,25.995016,12.263689,224.65324,1,1,1,-0.0180242474,-0.0071929019,2.123631
SH195,Species7,North,89.2595,24.599234,11.803696,242.55914,NA,1,1,-0.0370135399,-0.0006988722,2.06223
SH196,Species7,North,66.1475,18.423453,10.238585,133.69077,1,1,1,-0.0976178493,0.006838818,1.778779
SH015,Species8,North,114.966,31.540146,14.314913,299.48748,1,3,NA,0.019076471,0.0089712239,2.313541
SH335,Species8,North,140.415,46.195521,18.440927,604.96803,2,3,3,0.0296825768,-0.0109253832,2.505054
SH352,Species8,North,92.684,23.607343,10.739544,193.88449,2,3,3,-0.0300124852,0.0003680184,2.131779
SH051,Species8,North,109.355,32.373826,16.444342,393.40703,1,3,1,-0.0355976698,-0.000132195,2.065481
SH218,Species8,North,94.84,25.628793,11.717879,212.50603,1,2,1,0.0193923821,-0.0023819079,2.386101
SH226,Species8,North,102.209,37.46955,13.417724,371.12016,2,NA,2,0.0561650617,-0.0044223318,2.783639
SH239,Species8,North,90.97,28.269971,12.537941,265.97936,2,3,1,-0.0166410593,-0.0005314558,2.25244
SH265,Species8,North,99.515,30.769207,11.424181,262.15211,2,3,2,0.033158185,-0.0004563613,2.637158
SH280,Species8,North,101.274,33.866432,14.604596,367.07934,2,3,2,-0.0070393807,0.003090766,2.253436
SH598,Species8,South,75.0105,22.002463,10.380421,161.58463,2,3,3,-0.0332686614,0.0106224732,2.06875
